1,1,Bulbasaur,Seed,Grass,Poison,0.7,6.9,Overgrow,-,First,3,Bulbasaur,Ivysaur,Venusaur,Medium,2,4,1,3,2,4,2,5,2,5,3,Beginner,Original,1,Bulbasaur,None,None,Tackle,Starter,Growl,Starter,Leech Seed,Beginner,Vine Whip,Beginner,Poison Powder,Amateur,Sleep Powder,Amateur,Take Down,Amateur,Razor Leaf,Amateur,Sweet Scent,Amateur,Growth,Amateur,Worry Seed,Ace,Double-Edge,Ace,Synthesis,Ace,Solar Beam,Pro,Grassy Terrain,Pro,Amnesia,Pro,Grass Pledge,Pro,,,,,,,,,,,,,,,,,,,,
2,2,Ivysaur,Seed,Grass,Poison,1,13,Overgrow,-,Second,3,Bulbasaur,Ivysaur,Venusaur,Medium,2,4,2,4,2,5,3,6,3,6,4,Amateur,Original,1,Ivysaur,None,None,Tackle,Starter,Growl,Starter,Leech Seed,Beginner,Vine Whip,Beginner,Poison Powder,Amateur,Sleep Powder,Amateur,Take Down,Amateur,Razor Leaf,Amateur,Sweet Scent,Amateur,Growth,Amateur,Double-Edge,Ace,Worry Seed,Ace,Synthesis,Ace,Solar Beam,Ace,Grassy Terrain,Pro,Amnesia,Pro,Grass Pledge,Pro,,,,,,,,,,,,,,,,,,,,
3,3,Venusaur,Seed,Grass,Poison,2,100,Overgrow,-,Final,3,Bulbasaur,Ivysaur,Venusaur,None,2,5,2,5,3,6,3,7,3,7,5,Ace,Original,2,Venusaur,Mega Venusaur,None,Tackle,Starter,Growl,Starter,Leech Seed,Beginner,Vine Whip,Beginner,Poison Powder,Amateur,Sleep Powder,Amateur,Take Down,Amateur,Razor Leaf,Amateur,Sweet Scent,Amateur,Growth,Amateur,Double-Edge,Amateur,Petal Dance,Amateur,Worry Seed,Amateur,Synthesis,Ace,Petal Blizzard,Ace,Solar Beam,Ace,Outrage,Pro,Curse,Pro,Frenzy Plant,Pro,,,,,,,,,,,,,,,,
4,4,Charmander,Lizard,Fire,None,0.6,8.5,Blaze,-,First,3,Charmander,Charmeleon,Charizard,Medium,2,4,2,5,1,3,2,5,2,4,3,Beginner,Original,1,Charmander,None,None,Scratch,Starter,Growl,Starter,Ember,Beginner,Smokescreen,Beginner,Dragon Rage,Amateur,Scary Face,Amateur,Fire Fang,Amateur,Flame Burst,Amateur,Slash,Amateur,Fire Spin,Amateur,Flamethrower,Ace,Inferno,Ace,Metal Claw,Pro,Dragon Dance,Pro,Fire Pledge,Pro,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Charmeleon,Flame,Fire,None,1.1,19,Blaze,-,Second,3,Charmander,Charmeleon,Charizard,Medium,2,5,3,6,2,4,3,6,2,5,4,Amateur,Original,1,Charmeleon,None,None,Scratch,Starter,Growl,Starter,Ember,Beginner,Smokescreen,Beginner,Dragon Rage,Amateur,Scary Face,Amateur,Fire Fang,Amateur,Flame Burst,Amateur,Slash,Amateur,Fire Spin,Amateur,Flamethrower,Ace,Inferno,Ace,Metal Claw,Pro,Dragon Dance,Pro,Fire Pledge,Pro,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Charizard,Flame,Fire,Flying,1.7,90.5,Blaze,-,Final,3,Charmander,Charmeleon,Charizard,None,3,6,3,7,2,5,3,7,3,6,5,Ace,Original,3,Charizard,Mega Charizard X,Mega Charizard Y,Scratch,Starter,Smokescreen,Starter,Ember,Beginner,Growl,Beginner,Fire Fang,Amateur,Dragon Rage,Amateur,Air Slash,Amateur,Slash,Amateur,Scary Face,Amateur,Fire Spin,Amateur,Flame Burst,Amateur,Wing Attack,Amateur,Dragon Claw,Ace,Flamethrower,Ace,Shadow Claw,Ace,Flare Blitz,Ace,Heat Wave,Ace,Inferno,Pro,Thunder Punch,Pro,Outrage,Pro,Blast Burn,Pro,,,,,,,,,,,,
7,7,Squirtle,Tiny Turtle,Water,None,0.5,9,Torrent,-,First,3,Squirtle,Wartortle,Blastoise,Medium,2,4,1,3,2,5,2,4,2,5,3,Beginner,Original,1,Squirtle,None,None,Tackle,Starter,Tail Whip,Starter,Water Gun,Beginner,Withdraw,Beginner,Bubble,Amateur,Bite,Amateur,Rapid Spin,Amateur,Protect,Amateur,Water Pulse,Amateur,Aqua Tail,Amateur,Skull Bash,Ace,Iron Defense,Ace,Rain Dance,Ace,Hydro Pump,Ace,Aqua Jet,Pro,Water Pledge,Pro,Icy Wind,Pro,,,,,,,,,,,,,,,,,,,,
8,8,Wartortle,Turtle,Water,None,1,22.5,Torrent,-,Second,3,Squirtle,Wartortle,Blastoise,Medium,2,5,2,4,3,6,2,5,3,6,4,Amateur,Original,1,Wartortle,None,None,Tackle,Starter,Tail Whip,Starter,Water Gun,Beginner,Withdraw,Beginner,Bubble,Amateur,Bite,Amateur,Rapid Spin,Amateur,Protect,Amateur,Water Pulse,Amateur,Aqua Tail,Amateur,Skull Bash,Ace,Iron Defense,Ace,Rain Dance,Ace,Hydro Pump,Ace,Mud Sport,Pro,Water Pledge,Pro,Icy Wind,Pro,,,,,,,,,,,,,,,,,,,,
9,9,Blastoise,Shellfish,Water,None,1.6,85.5,Torrent,-,Final,3,Squirtle,Wartortle,Blastoise,None,3,6,2,5,3,7,3,6,3,7,5,Ace,Original,2,Blastoise,Mega Blastoise,None,Tail Whip,Starter,Tackle,Starter,Withdraw,Beginner,Water Gun,Beginner,Rapid Spin,Amateur,Bubble,Amateur,Bite,Amateur,Flash Cannon,Amateur,Protect,Amateur,Water Pulse,Amateur,Aqua Tail,Amateur,Skull Bash,Ace,Iron Defense,Ace,Rain Dance,Ace,Hydro Pump,Ace,Zap Cannon,Pro,Outrage,Pro,Hydro Cannon,Pro,,,,,,,,,,,,,,,,,,
10,10,Caterpie,Worm,Bug,None,0.3,2.9,Shield Dust,-,First,3,Caterpie,Metapod,Butterfree,Fast,1,3,2,4,1,3,1,2,1,2,4,Starter,Original,1,Caterpie,None,None,Tackle,Starter,String Shot,Starter,Bug Bite,Beginner,Electroweb,Amateur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
